"","SITESTN","start","stop","duration","STOC_ANY_N","STOC_4N_N","STOC_IRREG_N","STOC_BARK_N","STOC_WHIS_N","STOC_BEG_N","STOC_PAIR_N","FEMALE_N","MALE_N","UNK_N","JUV_N","reproState","Distance","XNAD83FP","YNAD83FP","dist_intended"
"76","UG_02",2021-04-27,2021-08-17,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2662.792707,447329,4894942,2646
"77","UG_03",2021-04-27,2021-08-17,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2620.024809,448379,4894887,2646
"78","UG_04",2021-04-27,2021-08-16,111,1,1,0,0,0,0,0,0,1,0,0,"fledged",2944.530013,449210,4894925,3000
"79","UG_05",2021-04-27,2021-08-16,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2750.014182,445753,4894133,2646
"80","UG_06",2021-04-27,2021-08-16,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2043.409895,446826,4894108,2000
"81","UG_07",2021-04-27,2021-08-17,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1722.001452,447909,4894046,1732
"82","UG_08",2021-04-27,2021-08-16,111,17,16,1,0,0,0,0,0,17,0,0,"fledged",2053.702267,448928,4894059,2000
"83","UG_09",2021-04-27,2021-08-17,112,3,3,0,0,0,0,0,0,3,0,0,"fledged",2651.159746,449828,4894064,2646
"84","UG_10",2021-04-28,2021-08-16,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2650.545793,445323,4893198,2646
"85","UG_11",2021-04-29,2021-08-17,110,13,5,8,0,0,0,0,0,13,0,0,"fledged",1735.636195,446323,4893194,1732
"86","UG_12",2021-04-27,2021-08-17,112,84,62,22,0,0,0,0,0,84,0,0,"fledged",1021.013712,447363,4893236,1000
"87","UG_13",2021-04-27,2021-08-17,112,45,45,0,0,0,0,0,0,45,0,0,"fledged",1078.707096,448461,4893198,1000
"88","UG_14",2021-04-27,2021-08-17,112,108,108,0,0,0,0,0,0,108,0,0,"fledged",1735.636195,449329,4893194,1732
"89","UG_15",2021-04-27,2021-08-17,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2659.683628,450332,4893217,2646
"90","UG_16",2021-04-28,2021-08-16,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3008.382954,444818,4892374,3000
"91","UG_17",2021-04-28,2021-08-17,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1998.036036,445828,4892338,2000
"92","UG_18",2021-04-27,2021-06-22,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",997.055665,446832,4892248,1000
"93","UG_19",2021-04-27,2021-08-17,112,1127,518,495,20,265,4,135,189,938,135,4,"fledged",0,447826,4892326,0
"94","UG_20",2021-04-27,2021-08-17,112,140,138,0,2,0,0,0,0,138,2,0,"fledged",1025.258016,448851,4892349,1000
"95","UG_21",2021-04-27,2021-08-16,111,45,45,0,0,0,0,0,0,45,0,0,"fledged",2006.008973,449832,4892332,2000
